["BHIJ","I","ACJ","EI","BL"]:0.1367442671096563:5896.306788286568
["ACDHL","BJ","AI","EF","A"]:0.10360522678766802:6768.435009988174
["FGHJ","BEI","C","BC","HL"]:0.13901456866419953:5859.940118805934
["CI","HJ","AH","AK","GHIL"]:0.14439684895546576:4780.158277849438
["IL","BFK","BCI","H","BDFL"]:0.08215404355130979:7214.070394001534
["ABEFJ","HJK","JK","FI","B"]:0.09654598959684547:6074.999819028689
["EGIL","AJ","ADGJ","GK","B"]:0.11794081552622439:6352.56887406861
["BHJL","EGL","EJ","L","FGH"]:0.1606807675299025:7024.116492781476
["CEH","AG","B","DHIJ","DKL"]:0.08187303452921868:6259.085791267375
["EHJL","ABK","GIJ","FI","AI"]:0.14749687924286337:7009.287817068973
["ABG","AFJL","I","EGIL","GL"]:0.17461830175238865:6696.923301549682
["L","","","","ABH"]:0.14453777010000002:845.6461619711042
["AGHL","","","A","BHK"]:0.202336208971875:1636.9890871899431
["AGHL","BGK","FG","EFL","FHIJK"]:0.2811254567478493:7513.477556618967
["AGHL","BK","F","E","AHKL"]:0.26314065598237585:4207.021882791354
["L","","","E","BHK"]:0.15210103195937502:1392.6693815403846
["GHL","K","","","BHK"]:0.2070696213875:1457.8989700754075
["L","K","","","BK"]:0.139611996975:989.2649357088719
["AGHL","BGK","F","EFL","FHIJK"]:0.28083760477232533:6877.468653181266
["AGHL","BK","F","L","HIKL"]:0.26379098186519856:4103.006932487286
["AGHL","BK","F","L","HJ"]:0.21862216458283462:3298.8492624059213
["AGHL","BK","F","L","HJK"]:0.26374870036616876:3483.054281987805
["AGHL","BK","","","HJ"]:0.19857308636219476:1954.6831832475877
["AHL","","","","AH"]:0.12502847317500002:901.4757019472818
["AHL","","","","BH"]:0.15035247817500003:909.466656089186
["AHL","","","","BH"]:0.15035247817500003:909.466656089186
["AG","KL","","","BHK"]:0.2196902814375:1570.8554754123397
["AGHL","BGK","F","EL","HJK"]:0.27599700253759274:5030.36804853648
["AGL","HK","F","","BHK"]:0.2504356498403356:2641.516163493589
["AGHL","BK","F","EL","HJK"]:0.2754691614625927:4670.6437765723795
["L","","","","AH"]:0.11953852695225001:675.512949604903
["AGL","BHK","","E","HJK"]:0.2544616921824935:2736.2514950722866
["HL","","","","ABHK"]:0.14876776854088195:1495.9819675196127
["","","","","HKL"]:0.106391850786625:536.5525154971166
["AGHL","K","","","AHK"]:0.20919089696250004:1631.2291091987013
["AHKL","K","","","BHK"]:0.19882637141710924:2085.3960375974198
["","","","","H"]:0.02997607945225:164.2924476480789
["","","","","H"]:0.02997607945225:164.2924476480789
["","","","J","H"]:0.02997607945225:604.3370210416016
["AGHL","BK","","L","HJK"]:0.2489376202574935:2480.7263896300265
["AGHL","BK","F","E","HIK"]:0.27040356981709285:3942.5529294052526
["AL","K","","","BHK"]:0.182951840725:1209.577384659106
["HL","","","","AH"]:0.12502847317500002:739.8783818264312
["HL","","","","AH"]:0.12502847317500002:739.8783818264312
["HL","","","","AH"]:0.12502847317500002:739.8783818264312
["AFGHL","BK","","EL","HJK"]:0.2242395608632214:5289.631708947352
["AGL","HKL","","","BHK"]:0.23694897388750003:1935.7856689665164
["L","K","","","BHK"]:0.170587365725:1048.324173466828
["GHL","BK","F","","HJK"]:0.2292648666161687:2959.2052227332297
["AFGL","BHK","","EL","HJKL"]:0.22963184269912973:5666.632681240088
["GHL","","","","BHK"]:0.176639706471875:1204.1787232271452
["AGH","BK","","F","HJK"]:0.20541907127411155:2863.0340437129676
["AGHL","BK","","F","GHJK"]:0.25874287784542677:3665.5255191862757
["AGHL","BK","F","E","HJK"]:0.26927277229116875:3739.2815501090686
["AG","KL","","","BHK"]:0.2196902814375:1570.8554754123397
["AGHL","BK","FL","E","HIK"]:0.27140482414525924:4437.847466706625
["AGHL","BK","","F","HKL"]:0.2559772600659517:2928.6006132776624
["","","","","BH"]:0.060418270100000004:317.56846582508695
["L","","","","BH"]:0.12182347010000003:683.5039037468073
["AGL","BHK","","E","HJK"]:0.2544616921824935:2736.2514950722866
["L","K","","","HK"]:0.14014517507725002:890.8387259419562
["","F","","","AH"]:0.08888498136902515:1318.8820583651996
["","","","","BH"]:0.060418270100000004:317.56846582508695
